,p-tau217,Aβ42/40,NfL,GFAP,MoCA,ADAS-Total,CDR-SB,HippoVol
p-tau217,,,,,,,,
Aβ42/40,,,,,,,,
NfL,,,,,,,,
GFAP,,,,,,,,
MoCA,,,,,,,,
ADAS-Total,,,,,,,,
CDR-SB,,,,,,,,
HippoVol,,,,,,,,
