Biomarker,Column,N,Mean,Std,Min,Q1,Median,Q3,Max,Skewness,Kurtosis,IQR,CV
p-tau217 (Fujirebio),pT217_F,2178,0.312257116620753,0.35262178740022637,0.03,0.101,0.172,0.391,5.555,3.5507879830004194,28.36940949539866,0.29000000000000004,1.1292674165966172
Aβ42 (Fujirebio),AB42_F,2172,27.146330570902396,22.019495148262646,2.25,22.3475,26.24,30.2125,1000.0,39.83591074349959,1757.2507507061832,7.864999999999998,0.811140757707596
Aβ40 (Fujirebio),AB40_F,2173,313.71228255867464,130.07797990550765,26.89,268.57,303.36,342.46,5000.0,22.886222059578017,789.2007137847294,73.88999999999999,0.4146410170637126
Aβ42/40 Ratio (Fujirebio),AB42_AB40_F,2172,0.08685139221777165,0.01974734713224818,0.0098,0.07741856700000001,0.0851,0.094764514,0.6631,13.25385912268187,352.88788988764736,0.017345946999999987,0.22736937921194833
NfL (Quanterix),NfL_Q,1727,22.752507237984947,16.460394199348592,3.07,13.4,19.0,27.5,278.0,5.0352805257057245,52.149429700898025,14.1,0.7234540803427688
GFAP (Quanterix),GFAP_Q,1727,195.9018123914302,121.97602202304898,10.56,113.55,169.1,245.6,1783.0,2.775537607462242,21.52361204037787,132.05,0.6226385582351297
NfL (Fujirebio),NfL_F,1127,26.253167701863354,24.639511165440176,5.97,15.675,21.42,30.3,482.11,10.4536082115954,165.97804187897006,14.625,0.9385347873160218
GFAP (Fujirebio),GFAP_F,1127,70.53140195208519,83.00758112772452,11.9,40.8,58.1,83.35,2478.1,21.996894723553453,629.7055846162668,42.55,1.17688829131902
