Biomarker,Lower_Bound,Upper_Bound,N_Low_Outliers,N_High_Outliers,Total_Outliers,Outlier_Pct
p-tau217 (Fujirebio),-0.3340000000000001,0.8260000000000001,0,187,187,8.585858585858585
Aβ42 (Fujirebio),10.550000000000002,42.01,16,39,55,2.532228360957643
Aβ40 (Fujirebio),157.735,453.29499999999996,25,83,108,4.970087436723423
Aβ42/40 Ratio (Fujirebio),0.05139964650000003,0.12078343449999998,9,24,33,1.5193370165745856
NfL (Quanterix),-7.749999999999998,48.65,0,81,81,4.6902142443543715
GFAP (Quanterix),-84.52500000000002,443.675,0,67,67,3.8795599305153443
NfL (Fujirebio),-6.262499999999999,52.2375,0,60,60,5.323868677905945
GFAP (Fujirebio),-23.025,147.17499999999998,0,49,49,4.3478260869565215
